Image_ID,sleeve_length,neckline,outer_clothing_cardigan,upper_clothing_covering_navel,Fabric_Type,Pattern_Type,warmth_score,breathability_score
MEN-Denim-id_00000089-02_7_additional.jpg,long-sleeve,lapel,no cardigan,yes,cotton,striped,0.8,0.8999999999999999
MEN-Denim-id_00000089-04_7_additional.jpg,long-sleeve,lapel,no cardigan,yes,denim,pure color,0.8,0.8999999999999999
MEN-Denim-id_00000089-05_7_additional.jpg,short-sleeve,round,no cardigan,yes,cotton,pure color,0.6,1.0
MEN-Denim-id_00000089-18_4_full.jpg,long-sleeve,round,no cardigan,yes,cotton,pure color,0.8,0.8
MEN-Denim-id_00000089-26_7_additional.jpg,medium-sleeve,lapel,no cardigan,yes,cotton,pure color,0.699999999999999,1.0
MEN-Denim-id_00000089-27_7_additional.jpg,medium-sleeve,lapel,no cardigan,yes,cotton,pure color,0.699999999999999,1.0
MEN-Denim-id_00000089-28_1_front.jpg,medium-sleeve,lapel,no cardigan,yes,cotton,pure color,0.699999999999999,1.0
MEN-Denim-id_00000089-29_7_additional.jpg,long-sleeve,round,no cardigan,yes,cotton,pure color,0.8,0.8
MEN-Denim-id_00000089-46_7_additional.jpg,short-sleeve,lapel,no cardigan,yes,cotton,pure color,0.6,1.1
MEN-Denim-id_00000182-01_7_additional.jpg,short-sleeve,V-shape,no cardigan,yes,cotton,pure color,0.6,1.2
MEN-Denim-id_00000313-01_1_front.jpg,short-sleeve,lapel,no cardigan,yes,cotton,lattice,0.6,1.1
MEN-Denim-id_00000516-01_1_front.jpg,sleeveless,round,no cardigan,yes,cotton,pure color,0.5,1.1
MEN-Denim-id_00000565-01_7_additional.jpg,long-sleeve,lapel,no cardigan,yes,cotton,lattice,0.8,0.8999999999999999
MEN-Denim-id_00000826-01_1_front.jpg,short-sleeve,V-shape,no cardigan,yes,cotton,pure color,0.6,1.2
MEN-Denim-id_00000826-02_7_additional.jpg,medium-sleeve,round,no cardigan,yes,cotton,pure color,0.699999999999999,0.8999999999999999
MEN-Denim-id_00002559-01_4_full.jpg,short-sleeve,round,no cardigan,yes,cotton,pure color,0.6,1.0
MEN-Denim-id_00002559-03_7_additional.jpg,short-sleeve,round,no cardigan,yes,cotton,pure color,0.6,1.0
MEN-Denim-id_00002760-01_4_full.jpg,long-sleeve,round,no cardigan,yes,cotton,pure color,0.8,0.8
MEN-Denim-id_00003242-01_7_additional.jpg,short-sleeve,round,no cardigan,yes,cotton,pure color,0.6,1.0
MEN-Denim-id_00003252-01_1_front.jpg,short-sleeve,round,no cardigan,yes,cotton,pure color,0.6,1.0
MEN-Denim-id_00003341-01_7_additional.jpg,short-sleeve,round,no cardigan,yes,cotton,pure color,0.6,1.0
MEN-Denim-id_00003734-01_1_front.jpg,long-sleeve,round,no cardigan,yes,knitted,striped,0.8,0.8
MEN-Denim-id_00003879-02_7_additional.jpg,sleeveless,round,no cardigan,yes,cotton,pure color,0.5,1.1
MEN-Denim-id_00004051-01_4_full.jpg,short-sleeve,round,no cardigan,yes,cotton,pure color,0.6,1.0
MEN-Denim-id_00004064-01_4_full.jpg,medium-sleeve,lapel,no cardigan,yes,denim,pure color,0.699999999999999,1.0
MEN-Denim-id_00005724-01_7_additional.jpg,long-sleeve,lapel,no cardigan,yes,cotton,pure color,0.8,0.8999999999999999
MEN-Denim-id_00005826-01_7_additional.jpg,short-sleeve,lapel,no cardigan,yes,cotton,pure color,0.6,1.1
MEN-Denim-id_00005887-02_7_additional.jpg,short-sleeve,round,no cardigan,yes,cotton,pure color,0.6,1.0
MEN-Denim-id_00006407-01_7_additional.jpg,medium-sleeve,standing,no cardigan,yes,cotton,pure color,0.699999999999999,0.8
MEN-Denim-id_00006465-01_7_additional.jpg,short-sleeve,round,no cardigan,yes,cotton,pure color,0.6,1.0
MEN-Denim-id_00007216-01_7_additional.jpg,short-sleeve,round,no cardigan,yes,cotton,pure color,0.6,1.0
MEN-Denim-id_00007297-01_7_additional.jpg,medium-sleeve,lapel,no cardigan,yes,denim,pure color,0.699999999999999,1.0
MEN-Denim-id_00007570-01_1_front.jpg,long-sleeve,lapel,no cardigan,yes,cotton,color block,0.8,0.8999999999999999
MEN-Jackets_Vests-id_00000084-05_1_front.jpg,long-sleeve,round,no cardigan,yes,cotton,pure color,0.8,0.8
MEN-Jackets_Vests-id_00000084-08_4_full.jpg,long-sleeve,round,no cardigan,yes,cotton,pure color,0.8,0.8
MEN-Jackets_Vests-id_00000094-01_4_full.jpg,long-sleeve,lapel,no cardigan,yes,cotton,graphic,0.8,0.8999999999999999
MEN-Jackets_Vests-id_00000094-02_7_additional.jpg,long-sleeve,lapel,no cardigan,yes,cotton,pure color,0.8,0.8999999999999999
MEN-Jackets_Vests-id_00000393-01_4_full.jpg,long-sleeve,round,yes cardigan,yes,cotton,lattice,1.1,0.8
MEN-Jackets_Vests-id_00000716-04_4_full.jpg,long-sleeve,round,yes cardigan,yes,cotton,pure color,1.1,0.8
MEN-Jackets_Vests-id_00000946-04_1_front.jpg,long-sleeve,round,yes cardigan,yes,cotton,pure color,1.1,0.8
MEN-Jackets_Vests-id_00001291-01_1_front.jpg,long-sleeve,lapel,yes cardigan,yes,cotton,lattice,1.1,0.8999999999999999
MEN-Jackets_Vests-id_00001875-01_7_additional.jpg,long-sleeve,lapel,no cardigan,yes,cotton,pure color,0.8,0.8999999999999999
MEN-Jackets_Vests-id_00001903-01_4_full.jpg,long-sleeve,lapel,no cardigan,yes,cotton,pure color,0.8,0.8999999999999999
MEN-Jackets_Vests-id_00002173-04_4_full.jpg,long-sleeve,round,yes cardigan,yes,cotton,pure color,1.1,0.8
MEN-Jackets_Vests-id_00002375-01_7_additional.jpg,long-sleeve,round,yes cardigan,yes,knitted,pure color,1.1,0.8
MEN-Jackets_Vests-id_00002439-02_4_full.jpg,long-sleeve,lapel,no cardigan,yes,cotton,pure color,0.8,0.8999999999999999
MEN-Jackets_Vests-id_00002439-04_4_full.jpg,long-sleeve,lapel,no cardigan,yes,cotton,pure color,0.8,0.8999999999999999
MEN-Jackets_Vests-id_00002754-01_1_front.jpg,long-sleeve,round,yes cardigan,yes,cotton,striped,1.1,0.8
MEN-Jackets_Vests-id_00003311-01_4_full.jpg,long-sleeve,round,yes cardigan,yes,cotton,pure color,1.1,0.8
MEN-Jackets_Vests-id_00004014-01_4_full.jpg,long-sleeve,round,yes cardigan,yes,cotton,pure color,1.1,0.8
MEN-Jackets_Vests-id_00004319-01_4_full.jpg,long-sleeve,lapel,yes cardigan,yes,cotton,pure color,1.1,0.8999999999999999
MEN-Jackets_Vests-id_00004606-01_4_full.jpg,long-sleeve,round,yes cardigan,yes,cotton,pure color,1.1,0.8
MEN-Jackets_Vests-id_00004622-01_1_front.jpg,long-sleeve,round,yes cardigan,yes,cotton,pure color,1.1,0.8
MEN-Jackets_Vests-id_00004672-01_7_additional.jpg,long-sleeve,round,yes cardigan,yes,cotton,pure color,1.1,0.8
